QUARTER,OBSERVED,MODEL,DATA
2010-06-30,0.095048204,0.093115002,DEVELOPMENT
2010-09-30,0.099348387,0.092298812,DEVELOPMENT
2010-12-31,0.101688988,0.089492109,DEVELOPMENT
2011-03-31,0.09575204,0.086090473,DEVELOPMENT
2011-06-30,0.089339355,0.083624453,DEVELOPMENT
2011-09-30,0.08421003,0.081759304,DEVELOPMENT
2011-12-31,0.079040288,0.081375366,DEVELOPMENT
2012-03-31,0.076248964,0.080610744,DEVELOPMENT
2012-06-30,0.070676889,0.077171686,DEVELOPMENT
2012-09-30,0.069174274,0.074900622,DEVELOPMENT
2012-12-31,0.066484563,0.072984666,DEVELOPMENT
2013-03-31,0.065498025,0.071941814,DEVELOPMENT
2013-06-30,0.067258076,0.072526253,DEVELOPMENT
2013-09-30,0.068621065,0.072280881,DEVELOPMENT
2013-12-31,0.071725734,0.071441869,DEVELOPMENT
2014-03-31,0.0743464,0.069880581,DEVELOPMENT
2014-06-30,0.075587255,0.068250322,DEVELOPMENT
2014-09-30,0.076982802,0.072583193,DEVELOPMENT
2014-12-31,0.075417792,0.076461219,DEVELOPMENT
2015-03-31,0.074392773,0.071891894,DEVELOPMENT
2015-06-30,0.071656877,0.071881589,DEVELOPMENT
2015-09-30,0.069817023,0.070586792,DEVELOPMENT
2015-12-31,0.067273584,0.065332101,DEVELOPMENT
2016-03-31,0.064742955,0.062121271,DEVELOPMENT
2016-06-30,0.061337032,0.060315327,DEVELOPMENT
2016-09-30,0.059115921,0.058292879,DEVELOPMENT
2016-12-31,0.056423394,0.056111759,DEVELOPMENT
2017-03-31,0.053265665,0.053491129,DEVELOPMENT
2017-06-30,0.049170224,0.050999044,DEVELOPMENT
2017-09-30,0.046085598,0.049760296,DEVELOPMENT
2017-12-31,0.044887257,0.048309972,DEVELOPMENT
2018-03-31,0.044309785,0.046405597,DEVELOPMENT
2018-06-30,0.043467402,0.045643587,DEVELOPMENT
2018-09-30,0.044154635,0.044412699,DEVELOPMENT
2018-12-31,0.043156535,0.042956258,DEVELOPMENT
2019-03-31,0.044123524,0.042345923,DEVELOPMENT
2019-06-30,0.045189882,0.042606966,DEVELOPMENT
2019-09-30,0.043792034,0.042544146,DEVELOPMENT
2019-12-31,0.044221252,0.043300812,DEVELOPMENT
2020-03-31,0.043328877,0.044070278,DEVELOPMENT
2020-06-30,0.042459171,0.044218217,DEVELOPMENT
2020-09-30,0.042661369,0.043678129,DEVELOPMENT
2020-12-31,0.040805924,0.043354982,DEVELOPMENT
2021-03-31,0.040406364,0.043034798,DEVELOPMENT
2021-06-30,0.046223154,0.043954833,DEVELOPMENT
2021-09-30,0.046336724,0.045801834,DEVELOPMENT
2021-12-31,0.045013629,0.047253911,DEVELOPMENT
2022-03-31,0.043133024,0.047019304,DEVELOPMENT
2022-06-30,0.033628745,0.031094341,DEVELOPMENT
2022-09-30,0.030023979,0.028491504,DEVELOPMENT
2022-12-31,0.028176621,0.028028936,DEVELOPMENT
2023-03-31,0.027409549,0.027733708,DEVELOPMENT
2023-06-30,0.02804295,0.027257883,DEVELOPMENT
2023-09-30,0.028710333,0.027204543,DEVELOPMENT
2023-12-31,0.028243298,0.029673622,FORECAST
2024-03-31,0.030952168,0.032969366,FORECAST
2024-06-30,0.03410534,0.037652101,FORECAST
2024-09-30,0.038411418,0.043215414,FORECAST
2024-12-31,0.040130598,0.044830397,FORECAST
2025-03-31,0.040395983,0.046109144,FORECAST
2025-06-30,0.041632852,0.047738789,FORECAST
2025-09-30,0.044073037,0.049002942,FORECAST
2025-12-31,0.045931194,0.048781459,FORECAST
2026-03-31,0.045961686,0.048759037,FORECAST
2026-06-30,0.045572873,0.048700993,FORECAST
2026-09-30,0.044832718,0.048330018,FORECAST
